Id,Дата визита,Пол,UTM Term,Возраст,Визиты,Посетители,Глубина просмотра,Среднее время на сайте_сек,Средний доход покупки_RUB,Добавили в корзину,Количество покупок,Новые посетители, , , , , , , , , , , 
212,2023-11-29,мужской,social,55 лет и старше,37,33,3.14,143.00,0.00,1.00,0.00,20.00,,,,,,,,,,,
213,2023-11-29,женский,social,25‑34 года,37,32,4.95,253.00,3870.00,3.00,1.00,15.00,,,,,,,,,,,
214,2023-11-02,женский,social,18‑24 года,36,33,2.17,61.00,0.00,2.00,0.00,26.00,,,,,,,,,,,
215,2023-11-03,женский,social,18‑24 года,36,33,3.83,245.00,54870.00,2.00,1.00,18.00,,,,,,,,,,,
216,2023-11-05,мужской,social,55 лет и старше,36,33,2.25,281.00,44280.00,2.00,1.00,28.00,,,,,,,,,,,
217,2023-11-07,женский,social,18‑24 года,36,31,4.22,314.00,41610.00,7.00,3.00,17.00,,,,,,,,,,,
218,2023-11-15,,search,,36,33,1.72,67.00,26855.00,2.00,2.00,30.00,,,,,,,,,,,
219,2023-11-23,женский,social,25‑34 года,36,31,3.44,188.00,38570.00,3.00,1.00,18.00,,,,,,,,,,,
220,2023-11-06,женский,social,25‑34 года,35,31,2.80,134.00,15670.00,1.00,1.00,16.00,,,,,,,,,,,
221,2023-11-16,мужской,social,55 лет и старше,35,29,2.57,183.00,63330.00,3.00,1.00,18.00,,,,,,,,,,,
222,2023-11-28,женский,social,45-54 года,35,29,2.74,116.00,0.00,2.00,0.00,19.00,,,,,,,,,,,
223,2023-11-06,женский,social,45-54 года,34,27,1.74,90.00,47470.00,3.00,1.00,17.00,,,,,,,,,,,
224,2023-11-08,,search,,34,32,2.88,122.00,0.00,3.00,0.00,30.00,,,,,,,,,,,
225,2023-11-08,женский,social,55 лет и старше,34,27,1.62,143.00,0.00,0.00,0.00,24.00,,,,,,,,,,,
226,2023-11-13,мужской,social,55 лет и старше,34,33,2.53,137.00,0.00,0.00,0.00,20.00,,,,,,,,,,,
